UUID,Seq ID,Question,"Timestamp 
with answer","Type 
(binary, position, time, text)",Text answer,Parsable answer,"Question
Category"
LONG_5a6cef0c-175d-4779-bfd4-f7b193fb9039,0,When did you leave the building?,7:59:00,time,,[minutes] ago,temporal
LONG_8f32d561-e898-453c-ae99-2e53745389e1,0,When did you first enter the building?,7:56:34,time,,[minutes] ago,temporal
LONG_cbe5ca33-b001-47c4-9397-aca6d275e5e4,0,How long were you in the building for?,"07:56:38,07:59:00",duration,I was in the building for 2.3 minutes,2.3,temporal reasoning
LONG_115fe136-a8ee-43f7-858d-a0a357c03fad,0,Where is the closest place to sit?,7:57:53,position,,[position],spatial
LONG_7213d1b5-0f7a-4361-b779-c6689042ae8a,0,Where is the yellow police call pole?,7:59:49,position,,[position],spatial
LONG_74167a94-2255-4d16-bb78-db37801acc0a,0,Where is the statue in front of the Bill and Melinda Gates Computer Science building?,7:55:58,position,,[position],spatial
LONG_f4661173-26c9-4939-824c-a238736d53ef,0,Where is the nearest recycling bin?,7:58:04,position,,[position],spatial
LONG_242c13b6-b47f-4022-9697-02611d770526,0,Where did you see the sculpture with the hanging boats?,8:00:50,position,,[position],spatial
LONG_82e9a231-76cf-446e-9a04-4afd6c831b2d,0,Was the brick sidewalk busy?,8:00:07,binary,,no,environmental
LONG_38a496dc-1afd-4e26-b8b2-c6640cab0499,0,Where are the closest elevators?,7:58:33,position,,[position],spatial
MEDIUM_3373f674-4a26-465b-9a08-8ca73651a0af,0,What color jacket was the person who opened the door for you wearing?,7:56:28,text,They were wearing a blue puffer jacket,,descriptive
MEDIUM_28199d34-e26c-4b79-8775-943431d3a68a,0,Where is the statue in front of the Bill and Melinda Gates Computer Science building?,7:55:58,position,,[position],spatial
MEDIUM_afd2f89f-f0b9-4082-9136-e2122475c3cd,0,What side of the brick sidewalk were you walking on?,7:53:59,text,I was driving on the right side of the sidewalk,,ego
MEDIUM_02da6f10-4ce1-4eb3-a416-c4522e9c8133,0,Where is the closest place to sit?,7:57:53,position,,[position],spatial
MEDIUM_9595c924-7840-4964-8bd0-d6e3080bcd65,0,When did you first enter the building?,7:56:34,time,,[minutes] ago,temporal
MEDIUM_11801608-016d-4367-8247-4a885afef25d,0,Where did you see the sculpture with the hanging boats?,8:00:50,position,,[position],spatial
MEDIUM_022ee3b7-38a6-4a36-9f48-fa656ea3cf21,0,What were the color of the couches near where I entered the building?,7:56:59,text,The couches were red.,,environmental
MEDIUM_b5b98312-f881-422d-b2cb-4b9c5696948b,0,When did you cross the brick street?,8:00:07,time,,[minutes] ago,temporal
MEDIUM_c6c87c47-04c3-44ca-a1be-053153b740c5,0,Where is the nearest bike rack that is not empty?,8:02:04,position,,[position],spatial
MEDIUM_254c3f52-e4ed-4828-ba85-42a500ff8676,0,When were you in the atrium with the red couches?,7:57:00,time,,[minutes] ago,temporal
SHORT_39a4eb19-b64e-4289-abcf-92ea6c3debba,0,How long have you been outside?,"07:59:00,07:59:54",duration,I have been outside for around 0.9 minutes,1,temporal reasoning
SHORT_37a3097f-a357-4af3-8a84-244e1b767ddf,0,When did you leave the building?,7:59:00,time,,[minutes] ago,temporal
SHORT_31d323c2-930f-4111-85b0-d92e960ee600,0,What side of the street are you driving on?,7:55:03,text,I was driving on the left side of the street,,ego
SHORT_bbfb623d-89d7-4698-9e91-be03c2720fc8,0,When did you get off of the brick sidewalk?,8:01:27,time,,[minutes] ago,temporal
SHORT_f20ba66d-74e4-4e2e-9a91-ac2576f16e0a,0,Where did you see a red fire hydrant?,8:02:45,position,,[position],spatial
SHORT_a29d9195-acc1-46ea-a225-95816e21e802,0,Which direction did you turn after leaving the building?,7:59:13,text,I turned left after driving off the sidewalk,,ego
SHORT_103d708a-b002-415c-ab49-ff02f654c490,0,Did you see a red fire hydrant?,8:02:45,binary,,yes,environmental
SHORT_426931a9-038a-48a3-a27b-0f7b12948a81,0,Did you see any bicyclists?,8:00:38,binary,,yes,environmental
SHORT_b928a4aa-a1fb-4161-ad8c-78e6f1e78eca,0,Where did you see the sculpture with the hanging boats?,8:00:50,position,,[position],spatial
SHORT_21548fa5-15ca-4f06-923e-a99b0fb2253a,0,Are you stopped in a loading zone right now?,8:03:06,binary,,yes,environmental
16_LONG_d9c7a3a4-fb29-4c2b-9f30-3638e96ec957,16,Where is the closest trash can?,10:53:40,position,,,
16_LONG_0cf9d4c5-ba79-4e27-b4dd-a033b2bc87c6,16,Can you take me to the busy intersection?,10:46:20,position,,,
16_LONG_355fb74f-4c0c-4085-93b9-bc66330fce2d,16,When did you see the blue bike?,10:40:40,time,,,
16_LONG_db55f5df-b120-48f2-a8ae-01d689b5fffe,16,When did you see the construction worker?,10:44:39,time,,,
16_LONG_39fad24c-9616-4415-b4f8-b26f28aaa36c,16,Did you see an 18-wheeler?,11:01:32,binary,,yes,
16_LONG_2f2264bc-f045-4cf0-960e-17ef961b61e3,16,Where did you see that semi-truck?,10:35:01,position,,,
16_LONG_8ba0c2a6-0318-4dc2-b369-67e132709582,16,Is it wet outside?,10:46:28,binary,,yes,
16_LONG_ef1e8b40-f29d-4830-9fdf-91a996741b8e,16,When did you see the pride flag?,10:48:05,time,,,
16_LONG_dbfc9ff7-cb76-4a6b-975f-e0ed40b1bd3f,16,Where can I find a place to sit closest to the stairs?,10:58:38,position,,,
16_LONG_2af098fa-6c27-4eb9-91a7-87e1bb14895a,16,Can you take me to the bank?,10:46:24,position,,,
16_MEDIUM_7bee74a4-af1e-4fe9-9eb0-4e74d105e641,16,When did you pass the stop sign?,10:59:40,time,,,
16_MEDIUM_6135dc24-4444-40f6-8082-a2575f990a72,16,What color was the semi-truck?,10:35:01,text,The semi-truck was red,,
16_MEDIUM_122e73d4-c202-4773-bb8e-140c54bcc801,16,Was the robot driving on the left side of the sidewalk?,10:55:01,binary,,No,
16_MEDIUM_3c00c2a5-521a-4e03-8a51-0f10e2536c6c,16,Was the robot driving on the left side of the yellow sidewalk?,11:00:17,binary,,Yes,
16_MEDIUM_1aa16770-2f02-4260-9e8f-9835e55c4fc8,16,Can you take me to where the cones were blocking parking?,10:51:02,position,,,
16_MEDIUM_161bac22-b5a7-4737-b544-c463e7fb82af,16,When did you cross the street?,10:42:07,time,,,
